Name,Funder,Total,Start,End,Title,Role,image,Link
Integration and Evaluation of LoRa Sensor Technology for a Flood Early Warning System,EPSRC-Feasibility,"£15,000 ",01/08/2017,31/12/2017,Integration and Evaluation of LoRa Sensor Technology for a Flood Early Warning System,PI,../assets/images/grant/lora.jpg,https://researchonline.gcu.ac.uk/en/projects/integration-and-evaluation-of-lora-sensor-technology-for-a-flood-
Improved approaches for mapping and modelling blanket peatland extent and depth,EPSRC-Feasibility,"£24,962 ",01/08/2016,01/08/2017,Improved approaches for mapping and modelling blanket peatland extent and depth,PI,../assets/images/grant/peatland.jpg,https://www.gla.ac.uk/research/az/secure/feasibilityprojects/projecta/
Workshop grant: “Solving Big Data Challenges in Modern Science through Statistical Modelling”,EPSRC/Department of Science and Technology (India),"£50,000 ",05/01/2015,01/06/2015,Solving Big Data Challenges in Modern Science through Statistical Modelling,Co-PI,../assets/images/grant/bigdata.jpg,https://www.icms.org.uk/workshops/2015/solving-big-data-challenges-modern-science-through-statistical-modelling
"Workshop grant: BANFF ""Frontiers in Functional Data Analysis (15w5096)”",NSF/Conacyt/NSERC,"£70,000 ",01/06/2015,01/08/2015,Frontiers in Functional Data Analysis (15w5096),Co-PI,../assets/images/grant/banff.jpg,https://www.birs.ca/events/2015/5-day-workshops/15w5096
DataLab  MSc Scholarships 2016,Scottish Funding Council (SFC)/EU - Datalab,"£27,800 ",01/10/2016,01/10/2017,DataLab  MSc Scholarships 2016,PI,../assets/images/grant/datalab2.png,https://thedatalab.com/students/scholarships/
DataLab  MSc Scholarships 2017,Scottish Funding Council (SFC)/EU - Datalab,"£178,872 ",01/10/2017,02/10/2019,DataLab  MSc Scholarships 2017-18,PI,../assets/images/grant/datalab1.jpg,https://thedatalab.com/students/scholarships/
DataLab  MSc Scholarships 2018,European Social Fund,"£96,360 ",01/10/2018,30/09/2020,DataLab  MSc Scholarships 2019-20,PI,../assets/images/grant/datalab3.jpg,https://ec.europa.eu/esf/home.jsp
Synthetic Medical Histories ,EPSRC/Toshiba Medical Visualization Systems Europe Limited,"£70,000 ",01/10/2017,01/10/2022,Generation of synthetic medical histories for clinical decision support - a connected approach,Supervisor,../assets/images/grant/synthetic.jpg,https://gtr.ukri.org/projects?ref=studentship-1953204
Developing statistical downscaling to improve water quality understanding and management in the Ramganga sub-basin,EPSRC-GCRF,"£461,314 ",01/09/2019,30/06/2022,Developing statistical downscaling to improve water quality understanding and management in the Ramganga sub-basin,PI,../assets/images/grant/ramganga.jpg,https://gow.epsrc.ukri.org/NGBOViewGrant.aspx?GrantRef=EP/T003669/1
A digital environment for water resources,NERC,"£228,805 ",01/11/2019,01/05/2021,A digital environment for water resources,Co-I ( PI: Marian Scott),../assets/images/grant/digital.jpg,https://gtr.ukri.org/projects?ref=NE%2FT005564%2F1
Finger prick test for early prediction of SARS-CoV-2; a screening method using changes in full blood count parameters,EPSRC-IAA,"£3,000 ",01/07/2020,01/11/2020,Finger prick test for early prediction of SARS-CoV-2; a screening method using changes in full blood count parameters,PI,../assets/images/grant/fbc.jpg,https://www.gla.ac.uk/myglasgow/ris/knowledgeexchange/knowledgeexchangefunding/impactaccelerationaccounts/epsrciaa2022-2025/
Functional Data Modeling of Climate-Ecosystem Dynamics,NSF (USA),"$363,851",01/09/2009,31/08/2013,Functional Data Modeling of Climate-Ecosystem Dynamics,PI,../assets/images/grant/nsf.jpg,https://app.dimensions.ai/details/grant/grant.3106253
Evaluation of Variants Affecting Deployed COVID-19 Vaccines,HDRUK/Alan Turing Institute/ONS COVID-19,,01/01/2021,31/03/2023,Evaluation of Variants Affecting Deployed COVID-19 Vaccines,Co-I ( PI: Emma Thomson),../assets/images/grant/vaccine.jpg,https://www.hdruk.ac.uk/projects/over-time-will-changes-in-the-genome-of-the-sars-cov-2-virus-result-in-a-decrease-in-vaccine-effectiveness-in-the-scottish-population/
GK-12 Graduate STEM Fellows in K-12 Education GLACIER-Global Change Initiative-Education & Research,NSF (USA),"$2,854,102",15/03/2010,14/03/2014,GK-12 Graduate STEM Fellows in K-12 Education GLACIER-Global Change Initiative-Education & Research,Co-I ( PI: Sucharita Gopal),../assets/images/grant/gk12.jpg,https://app.dimensions.ai/details/grant/grant.3108353
Research Reinvigoration grant on Probablistics segmentation of medical images,University of Glasgow,"£40,700 ",01/09/2022,30/06/2023,Research Reinvigoration grant on Probabilistic segmentation of medical images,PI,../assets/images/grant/imaging.jpg,https://www.gla.ac.uk/myglasgow/ris/reinvigoratingresearch/
Analysis of Positron Emission Tomography data for tumour detection and delineation,Carnegie Trust,,01/10/2020,01/10/2024,Analysis of Positron Emission Tomography data for tumour detection and delineation,Supervisor,../assets/images/grant/pet.jpg,https://www.carnegie-trust.org/alumni/wenhui-zhang-2/
Research Reinvigoration grant on Probablistics segmentation of medical images,University of Glasgow,"£12,700 ",01/01/2022,30/06/2022,Covid Researcher Support Scheme,PI,../assets/images/grant/lucas.jpg,https://www.gla.ac.uk/myglasgow/ris/reinvigoratingresearch/
Training Course on Functional Data at University of Bologna,EU ERASMUS,"£1,700 ",01/07/2017,30/07/2017,Training Course on Functional Data at University of Bologna,PI,../assets/images/grant/erasmus.jpg,https://phd.unibo.it/statistics/en/agenda/statistical-methods-for-functional-data
Sub-millimetre accuracy of 3D measurements and texture analysis of Diabetic Foot Ulcers,Innovate UK,"£50,000 ",01/03/2023,01/06/2023,Sub-millimetre accuracy of 3D measurements and texture analysis of Diabetic Foot Ulcers,PI,../assets/images/grant/mig.png,https://www.mig-health.com/
