Name,Link,Type,Photo,Local.photo,Affiliation,Photo.link
Craig Wilkie,https://www.gla.ac.uk/schools/mathematicsstatistics/staff/craigwilkie/,PDRA,,,Working on Ramganga water quality and Vaccine efficacy,https://ramganga.org/assets/faces/craig_wilkie_2.jpg
Wenhui Zhang,https://www.carnegie-trust.org/alumni/wenhui-zhang-2/,PGR,,,Working on probabilistic contouring of medical images,https://d1ssu070pg2v9i.cloudfront.net/pex/carnegie_trust_universities/2020/09/25111008/Wenhui-Zhang-425x425.jpg
Yalei Yang,https://www.gla.ac.uk/schools/mathematicsstatistics/staff/yaleiyang/,PDRA,../assets/images/people/yalei.jpg,,Working on probabilistic contouring of MRI images,../assets/images/people/yalei.jpg
Adhiraj Mandal,https://www.gla.ac.uk/pgrs/adhirajmandal/,PGR,,,Working on modal clustering of functional data objects,
Alastair Gemmel,https://www.gla.ac.uk/subjects/medicine/staff/index.html/staffcontact/person/4edfe9e08197,PGR,,,Working on SPECT image analysis,
Ken Bollen,https://bollen.web.unc.edu/,SEM,,,University of North Carolina at Chapel Hill,https://www.cpc.unc.edu/wp-content/uploads/people_photos/bollen.jpg
James Berger,https://www2.stat.duke.edu/~berger/,SEM,https://www2.stat.duke.edu/~berger/icon/Jim3b_edited.jpg,,Duke University,https://www2.stat.duke.edu/~berger/icon/Jim3b_edited.jpg
Jane Zavisca,https://sbs.arizona.edu/people/jane-zavisca,SEM,,,University of Arizona,https://sbs.arizona.edu/sites/sbs.arizona.edu/files/styles/large/public/images/people/jane-zavisca.jpg?itok=AV-Et9UK
Vladimir Brusic,https://research.nottingham.edu.cn/en/persons/vladimir-brusic,Immunology,https://research.nottingham.edu.cn/files-asset/22851878/vladimir-brusic.xe6a7a7fd.jpg?w=320&f=webp,,"Li Dak Sum Chair Professor in Computer Science, University of Nottingham",https://research.nottingham.edu.cn/files-asset/22851878/vladimir-brusic.xe6a7a7fd.jpg?w=320&f=webp
Saumyadipta Pyne,https://midasnetwork.us/people/saumyadipta-pyne/,Immunology,https://midasnetwork.us/wp-content/uploads/elementor/thumbs/Saumyadipta_Pyne-op2wka525wdmccp6msjdggtwt8ume2qodkjeqpjm3c.jpg,,"
Scientific Director, Public Health Dynamics Laboratory, University of Pittsburgh",https://midasnetwork.us/wp-content/uploads/elementor/thumbs/Saumyadipta_Pyne-op2wka525wdmccp6msjdggtwt8ume2qodkjeqpjm3c.jpg
Emma Thomson,https://www.gla.ac.uk/schools/infectionimmunity/staff/emmathomson/,CVR,,,"Professor, School of Infection & Immunity, University of Glasgow",
Mayetri Gupta,https://www.gla.ac.uk/schools/mathematicsstatistics/staff/mayetrigupta/,,,,"Reader in Statistics, University of Glasgow",https://cbc.dcs.gla.ac.uk/static/img/MayetriGupta.jpg
Flynn Gewirtz-O'Reilly,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwja77SL1pf7AhUHV8AKHfOpB8sQFnoECBEQAQ&url=https%3A%2F%2Fuk.linkedin.com%2Fin%2Fflynn-gewirtz-o-reilly-ba8431101&usg=AOvVaw2m8q5XrZmuHUslLtZZkhuY,PGR,,,Working on syntehtic patient data generation,
Bader Al-Ruwali,https://www.ju.edu.sa/en/colleges/science-college/college-of-science/departments/department-of-mathematics/department-members/statistics/,PGRold,,,"Assistant Professor at the Department of Statistics, Jouf University, Saudi Arabia",https://www.ju.edu.sa/uploads/tx_wdju/%D8%AF_%D8%A8%D8%AF%D8%B1_01.png
Salihah S. Alghamdi,https://cemse.kaust.edu.sa/stat/people/person/salihah-s-alghamdi,PGRold,,,"Post Doctoral Researcher at Department of Statistics, KAUST, Saudi Arabia.",
